"fecha_hecho","departamento","municipio","cantidad","unidad","LATITUD","LONGITUD"
2003-01-01,"CAQUETÁ","VALPARAISO",144.6,"HECTAREA",1.07534915,-75.73779004
2003-01-01,"CESAR","AGUSTIN CODAZZI",120,"HECTAREA",9.949215908,-73.22358244
2003-01-02,"CAQUETÁ","VALPARAISO",175.91,"HECTAREA",1.07534915,-75.73779004
2003-01-02,"CESAR","AGUSTIN CODAZZI",84,"HECTAREA",9.949215908,-73.22358244
2003-01-03,"CAQUETÁ","SAN VICENTE DEL CAGUAN",69.05,"HECTAREA",1.308465061,-74.19746971
2003-01-03,"LA GUAJIRA","MANAURE",90,"HECTAREA",11.60554263,-72.57160392
2003-01-04,"CAQUETÁ","SOLANO",92.19,"HECTAREA",0.096131862,-72.32036402
2003-01-04,"CESAR","AGUSTIN CODAZZI",88,"HECTAREA",9.949215908,-73.22358244
2003-01-05,"CAQUETÁ","LA MONTAÑITA",293.22,"HECTAREA",1.302860442,-75.23572732
2003-01-05,"LA GUAJIRA","VILLANUEVA",75,"HECTAREA",10.58364755,-72.97520286
2003-01-06,"CAQUETÁ","CURILLO",16.93,"HECTAREA",1.115379292,-75.97328452
2003-01-07,"CAQUETÁ","VALPARAISO",79.38,"HECTAREA",1.07534915,-75.73779004
2003-01-09,"CAQUETÁ","VALPARAISO",188.36,"HECTAREA",1.07534915,-75.73779004
2003-01-11,"GUAVIARE","CALAMAR",175.36,"HECTAREA",1.613634284,-73.0342639
2003-01-12,"GUAVIARE","CALAMAR",129.4,"HECTAREA",1.613634284,-73.0342639
2003-01-13,"GUAVIARE","CALAMAR",224,"HECTAREA",1.613634284,-73.0342639
2003-01-13,"NORTE DE SANTANDER","TIBU",326,"HECTAREA",8.713507237,-72.79925855
2003-01-14,"GUAVIARE","CALAMAR",281.7,"HECTAREA",1.613634284,-73.0342639
2003-01-14,"NORTE DE SANTANDER","SARDINATA",241,"HECTAREA",8.215080767,-72.79580961
2003-01-15,"GUAVIARE","MIRAFLORES",224,"HECTAREA",1.363974932,-72.01810951
2003-01-15,"NORTE DE SANTANDER","TIBU",204,"HECTAREA",8.713507237,-72.79925855
2003-01-16,"GUAVIARE","MIRAFLORES",486.2,"HECTAREA",1.363974932,-72.01810951
2003-01-16,"NORTE DE SANTANDER","TIBU",231,"HECTAREA",8.713507237,-72.79925855
2003-01-17,"GUAVIARE","CALAMAR",333,"HECTAREA",1.613634284,-73.0342639
2003-01-17,"NORTE DE SANTANDER","EL TARRA",200,"HECTAREA",8.678263671,-73.0317597
