"fecha_hecho","departamento","municipio","cantidad","unidad","LATITUD","LONGITUD"
2010-01-02,"NARIÑO","OLAYA HERRERA",1,"UNIDAD",2.287856547,-78.31219024
2010-01-03,"ANTIOQUIA","ANORI",1,"UNIDAD",7.193110778,-75.10848954
2010-01-03,"CUNDINAMARCA","PUERTO SALGAR",1,"UNIDAD",5.619752748,-74.5801923
2010-01-03,"NARIÑO","SAN ANDRES DE TUMACO",2,"UNIDAD",1.574550638,-78.61540963
2010-01-03,"NARIÑO","OLAYA HERRERA",1,"UNIDAD",2.287856547,-78.31219024
2010-01-04,"GUAVIARE","SAN JOSE DEL GUAVIARE",5,"UNIDAD",2.484286091,-71.91916993
2010-01-04,"ANTIOQUIA","YARUMAL",1,"UNIDAD",6.9881309,-75.45439957
2010-01-05,"GUAVIARE","SAN JOSE DEL GUAVIARE",5,"UNIDAD",2.484286091,-71.91916993
2010-01-05,"CAQUETÁ","PUERTO RICO",1,"UNIDAD",2.018940891,-75.07308627
2010-01-05,"CAUCA","FLORENCIA",1,"UNIDAD",1.69453474,-77.08735723
2010-01-06,"ANTIOQUIA","ITUANGO",1,"UNIDAD",7.341549718,-75.67842277
2010-01-06,"PUTUMAYO","LEGUIZAMO",1,"UNIDAD",0.05947197,-75.06479327
2010-01-06,"PUTUMAYO","PUERTO ASIS",1,"UNIDAD",0.433884539,-76.52158203
2010-01-07,"GUAVIARE","SAN JOSE DEL GUAVIARE",4,"UNIDAD",2.484286091,-71.91916993
2010-01-07,"PUTUMAYO","ORITO",1,"UNIDAD",0.673756323,-76.94313923
2010-01-08,"CAUCA","FLORENCIA",1,"UNIDAD",1.69453474,-77.08735723
2010-01-08,"ANTIOQUIA","YOLOMBO",1,"UNIDAD",6.64442786,-75.02990266
2010-01-08,"SANTANDER","EL PLAYON",1,"UNIDAD",7.524284721,-73.18158192
2010-01-09,"CAQUETÁ","CARTAGENA DEL CHAIRA",1,"UNIDAD",0.647693081,-74.27235499
2010-01-09,"ANTIOQUIA","YARUMAL",1,"UNIDAD",6.9881309,-75.45439957
2010-01-09,"ANTIOQUIA","BRICEÑO",1,"UNIDAD",7.111788462,-75.56223474
2010-01-10,"NARIÑO","LINARES",1,"UNIDAD",1.395173084,-77.52093774
2010-01-11,"META","PUERTO RICO",2,"UNIDAD",2.758083657,-73.13780171
2010-01-11,"MAGDALENA","SANTA MARTA",1,"UNIDAD",11.12189436,-73.88527855
2010-01-11,"PUTUMAYO","VILLAGARZON",2,"UNIDAD",0.911149515,-76.74495447
2010-01-12,"GUAVIARE","EL RETORNO",1,"UNIDAD",2.143447362,-72.24364869
2010-01-12,"ANTIOQUIA","TARAZA",1,"UNIDAD",7.488875998,-75.40189438
2010-01-12,"META","PUERTO GAITAN",1,"UNIDAD",4.005034467,-71.63157429
2010-01-12,"CALDAS","SAMANA",1,"UNIDAD",5.519692873,-74.99718577
2010-01-12,"MAGDALENA","CIENAGA",1,"UNIDAD",10.85754552,-74.02500493
2010-01-12,"NARIÑO","LA TOLA",1,"UNIDAD",2.56027333,-78.23506694
2010-01-12,"NARIÑO","SAN ANDRES DE TUMACO",1,"UNIDAD",1.574550638,-78.61540963
2010-01-13,"ANTIOQUIA","VALDIVIA",1,"UNIDAD",7.265404213,-75.40094502
2010-01-13,"NARIÑO","SAN ANDRES DE TUMACO",1,"UNIDAD",1.574550638,-78.61540963
2010-01-14,"ANTIOQUIA","VALDIVIA",1,"UNIDAD",7.265404213,-75.40094502
2010-01-14,"NORTE DE SANTANDER","EL TARRA",2,"UNIDAD",8.678263671,-73.0317597
2010-01-14,"NORTE DE SANTANDER","SAN CALIXTO",1,"UNIDAD",8.414441404,-73.2176038
2010-01-14,"BOLÍVAR","ALTOS DEL ROSARIO",1,"UNIDAD",8.757468863,-74.19515811
2010-01-14,"META","SAN JUAN DE ARAMA",1,"UNIDAD",3.289851171,-73.81635243
2010-01-14,"NARIÑO","SAN ANDRES DE TUMACO",3,"UNIDAD",1.574550638,-78.61540963
2010-01-15,"CAQUETÁ","EL DONCELLO",10,"UNIDAD",1.713734697,-75.26878109
2010-01-15,"CAUCA","ARGELIA",1,"UNIDAD",2.329337283,-77.26314906
2010-01-15,"NARIÑO","SAN ANDRES DE TUMACO",1,"UNIDAD",1.574550638,-78.61540963
2010-01-16,"ANTIOQUIA","VALDIVIA",1,"UNIDAD",7.265404213,-75.40094502
2010-01-16,"NORTE DE SANTANDER","TIBU",1,"UNIDAD",8.713507237,-72.79925855
2010-01-16,"CAUCA","BOLIVAR",1,"UNIDAD",1.853951938,-76.96337454
2010-01-16,"PUTUMAYO","PUERTO CAICEDO",1,"UNIDAD",0.70416861,-76.49864415
2010-01-16,"VALLE DEL CAUCA","FLORIDA",1,"UNIDAD",3.304104295,-76.16477307
2010-01-16,"NARIÑO","SAN ANDRES DE TUMACO",2,"UNIDAD",1.574550638,-78.61540963
2010-01-17,"GUAVIARE","SAN JOSE DEL GUAVIARE",1,"UNIDAD",2.484286091,-71.91916993
2010-01-17,"PUTUMAYO","ORITO",1,"UNIDAD",0.673756323,-76.94313923
2010-01-17,"CAUCA","ARGELIA",1,"UNIDAD",2.329337283,-77.26314906
2010-01-17,"NARIÑO","SAN ANDRES DE TUMACO",6,"UNIDAD",1.574550638,-78.61540963
2010-01-18,"ANTIOQUIA","ANORI",1,"UNIDAD",7.193110778,-75.10848954
2010-01-18,"PUTUMAYO","ORITO",1,"UNIDAD",0.673756323,-76.94313923
2010-01-18,"META","PUERTO GAITAN",1,"UNIDAD",4.005034467,-71.63157429
2010-01-18,"CAUCA","PAEZ",1,"UNIDAD",2.733887702,-75.99368264
2010-01-18,"CALDAS","SAMANA",1,"UNIDAD",5.519692873,-74.99718577
2010-01-18,"CAUCA","ARGELIA",1,"UNIDAD",2.329337283,-77.26314906
2010-01-19,"GUAVIARE","CALAMAR",12,"UNIDAD",1.613634284,-73.0342639
2010-01-19,"NORTE DE SANTANDER","SARDINATA",1,"UNIDAD",8.215080767,-72.79580961
2010-01-19,"NARIÑO","CUMBITARA",1,"UNIDAD",1.72559011,-77.59281637
2010-01-19,"PUTUMAYO","VILLAGARZON",1,"UNIDAD",0.911149515,-76.74495447
2010-01-20,"GUAVIARE","SAN JOSE DEL GUAVIARE",9,"UNIDAD",2.484286091,-71.91916993
2010-01-20,"NORTE DE SANTANDER","EL TARRA",1,"UNIDAD",8.678263671,-73.0317597
2010-01-20,"META","MAPIRIPAN",2,"UNIDAD",3.117523361,-71.93805692
2010-01-21,"CÓRDOBA","TIERRALTA",1,"UNIDAD",7.813896829,-76.16846678
2010-01-21,"PUTUMAYO","ORITO",1,"UNIDAD",0.673756323,-76.94313923
2010-01-21,"META","MAPIRIPAN",1,"UNIDAD",3.117523361,-71.93805692
2010-01-23,"ANTIOQUIA","YALI",2,"UNIDAD",6.716870679,-74.75565002
2010-01-23,"META","MAPIRIPAN",1,"UNIDAD",3.117523361,-71.93805692
2010-01-23,"PUTUMAYO","SAN MIGUEL",1,"UNIDAD",0.272449048,-76.84510459
2010-01-24,"GUAVIARE","SAN JOSE DEL GUAVIARE",2,"UNIDAD",2.484286091,-71.91916993
