"fecha_hecho","departamento","municipio","tipo_cultivo","cantidad","unidad","LATITUD","LONGITUD"
2007-01-01,"CASANARE","SABANALARGA","COCA",1,"HECTAREA",4.81119011,-72.99580655
2007-01-02,"NARIÑO","SAMANIEGO","AMAPOLA",4,"HECTAREA",1.430555262,-77.69179559
2007-01-03,"SANTANDER","BOLIVAR","COCA",3,"HECTAREA",6.181715586,-73.92065703
2007-01-04,"SANTANDER","CIMITARRA","COCA",2,"HECTAREA",6.40972961,-74.17030427
2007-01-04,"BOYACÁ","PAUNA","COCA",1,"HECTAREA",5.688801559,-74.00504122
2007-01-05,"CALDAS","VICTORIA","COCA",1,"HECTAREA",5.447542859,-74.83622502
2007-01-05,"NARIÑO","FUNES","AMAPOLA",6,"HECTAREA",0.957786429,-77.39532781
2007-01-05,"BOYACÁ","PAUNA","COCA",1.7,"HECTAREA",5.688801559,-74.00504122
2007-01-06,"NARIÑO","TUQUERRES","AMAPOLA",4.5,"HECTAREA",1.134440523,-77.63073238
2007-01-06,"NARIÑO","ROBERTO PAYAN","COCA",1,"HECTAREA",1.897581156,-78.3811163
2007-01-07,"NARIÑO","EL ROSARIO","COCA",1,"HECTAREA",1.887689437,-77.48319589
2007-01-08,"TOLIMA","ATACO","COCA",3,"HECTAREA",3.37749064,-75.61373257
2007-01-09,"NARIÑO","RICAURTE","COCA",0.5,"HECTAREA",1.147671848,-78.05811118
2007-01-10,"NARIÑO","SAMANIEGO","AMAPOLA",8,"HECTAREA",1.430555262,-77.69179559
2007-01-10,"NARIÑO","EL ROSARIO","COCA",0.89,"HECTAREA",1.887689437,-77.48319589
2007-01-11,"CUNDINAMARCA","CAPARRAPI","COCA",11,"HECTAREA",5.381501399,-74.52123595
2007-01-11,"NARIÑO","SAMANIEGO","AMAPOLA",9,"HECTAREA",1.430555262,-77.69179559
2007-01-11,"CUNDINAMARCA","EL PEÑON","COCA",0.5,"HECTAREA",5.261728244,-74.30830564
2007-01-13,"SANTANDER","VELEZ","COCA",5,"HECTAREA",6.00741043,-73.69057256
2007-01-13,"ANTIOQUIA","PUERTO TRIUNFO","COCA",2.5,"HECTAREA",5.954830151,-74.6861918
2007-01-14,"SANTANDER","CIMITARRA","COCA",9,"HECTAREA",6.40972961,-74.17030427
2007-01-15,"SANTANDER","CIMITARRA","COCA",10.2,"HECTAREA",6.40972961,-74.17030427
2007-01-15,"NARIÑO","LEIVA","COCA",2,"HECTAREA",1.900862361,-77.31220073
2007-01-15,"NARIÑO","EL ROSARIO","COCA",0.95,"HECTAREA",1.887689437,-77.48319589
2007-01-16,"SANTANDER","CIMITARRA","COCA",9.5,"HECTAREA",6.40972961,-74.17030427
2007-01-16,"NARIÑO","POLICARPA","COCA",1,"HECTAREA",1.735354202,-77.48134359
2007-01-16,"CUNDINAMARCA","TOPAIPI","COCA",0.2,"HECTAREA",5.355688386,-74.28963994
2007-01-16,"META","URIBE","COCA",10,"HECTAREA",3.047726858,-74.43066134
2007-01-17,"SANTANDER","CIMITARRA","COCA",8.1,"HECTAREA",6.40972961,-74.17030427
2007-01-17,"NARIÑO","SAMANIEGO","AMAPOLA",10,"HECTAREA",1.430555262,-77.69179559
2007-01-17,"NARIÑO","LEIVA","COCA",2,"HECTAREA",1.900862361,-77.31220073
2007-01-18,"CUNDINAMARCA","EL PEÑON","COCA",1,"HECTAREA",5.261728244,-74.30830564
2007-01-18,"NARIÑO","LA UNION","COCA",1.5,"HECTAREA",1.619697376,-77.14284622
2007-01-18,"SANTANDER","CIMITARRA","COCA",9.9,"HECTAREA",6.40972961,-74.17030427
2007-01-18,"NARIÑO","SAMANIEGO","AMAPOLA",7,"HECTAREA",1.430555262,-77.69179559
2007-01-19,"SANTANDER","CIMITARRA","COCA",8.4,"HECTAREA",6.40972961,-74.17030427
2007-01-19,"NARIÑO","LEIVA","COCA",2,"HECTAREA",1.900862361,-77.31220073
2007-01-19,"NARIÑO","EL ROSARIO","COCA",0.7,"HECTAREA",1.887689437,-77.48319589
2007-01-19,"CUNDINAMARCA","YACOPI","COCA",2,"HECTAREA",5.591910157,-74.36480865
2007-01-20,"SANTANDER","CIMITARRA","COCA",8.2,"HECTAREA",6.40972961,-74.17030427
2007-01-20,"NARIÑO","LA UNION","COCA",2,"HECTAREA",1.619697376,-77.14284622
2007-01-21,"SANTANDER","CIMITARRA","COCA",7.6,"HECTAREA",6.40972961,-74.17030427
2007-01-21,"CAQUETÁ","LA MONTAÑITA","COCA",1.5,"HECTAREA",1.302860442,-75.23572732
2007-01-22,"SANTANDER","CIMITARRA","COCA",9.4,"HECTAREA",6.40972961,-74.17030427
2007-01-22,"CAUCA","FLORENCIA","COCA",0.5,"HECTAREA",1.69453474,-77.08735723
2007-01-22,"TOLIMA","CHAPARRAL","COCA",10,"HECTAREA",3.743693084,-75.58986634
2007-01-23,"BOYACÁ","SAN PABLO DE BORBUR","COCA",1.1,"HECTAREA",5.677345066,-74.11403749
2007-01-23,"NARIÑO","TUQUERRES","AMAPOLA",4,"HECTAREA",1.134440523,-77.63073238
2007-01-23,"NARIÑO","LEIVA","COCA",1.5,"HECTAREA",1.900862361,-77.31220073
2007-01-23,"SANTANDER","CIMITARRA","COCA",9.6,"HECTAREA",6.40972961,-74.17030427
2007-01-24,"SANTANDER","CIMITARRA","COCA",9.2,"HECTAREA",6.40972961,-74.17030427
2007-01-24,"NARIÑO","POLICARPA","COCA",1,"HECTAREA",1.735354202,-77.48134359
2007-01-24,"NARIÑO","LA UNION","COCA",1,"HECTAREA",1.619697376,-77.14284622
2007-01-24,"NARIÑO","EL ROSARIO","COCA",2.24,"HECTAREA",1.887689437,-77.48319589
2007-01-24,"BOYACÁ","TUNUNGUA","COCA",23,"HECTAREA",5.720301516,-73.94330927
2007-01-25,"SANTANDER","CIMITARRA","COCA",9.1,"HECTAREA",6.40972961,-74.17030427
2007-01-25,"SANTANDER","EL PLAYON","COCA",1,"HECTAREA",7.524284721,-73.18158192
2007-01-26,"VALLE DEL CAUCA","DAGUA","COCA",12,"HECTAREA",3.649822218,-76.72039347
2007-01-26,"SANTANDER","CIMITARRA","COCA",8.8,"HECTAREA",6.40972961,-74.17030427
2007-01-26,"BOYACÁ","PAUNA","COCA",2.2,"HECTAREA",5.688801559,-74.00504122
2007-01-26,"BOYACÁ","SANTA MARIA","COCA",6.1,"HECTAREA",4.823002556,-73.25377506
2007-01-26,"CALDAS","VICTORIA","COCA",3,"HECTAREA",5.447542859,-74.83622502
2007-01-27,"BOYACÁ","PAEZ","COCA",0.28,"HECTAREA",5.095211035,-73.00435863
2007-01-27,"BOYACÁ","TUNUNGUA","COCA",4.6,"HECTAREA",5.720301516,-73.94330927
2007-01-27,"SANTANDER","CIMITARRA","COCA",13.7,"HECTAREA",6.40972961,-74.17030427
2007-01-28,"CALDAS","SAMANA","COCA",5,"HECTAREA",5.519692873,-74.99718577
2007-01-28,"BOYACÁ","PAUNA","COCA",1.1,"HECTAREA",5.688801559,-74.00504122
2007-01-28,"BOYACÁ","SAN LUIS DE GACENO","COCA",1.1,"HECTAREA",4.798203543,-73.13397018
2007-01-28,"NARIÑO","ROBERTO PAYAN","COCA",1.01,"HECTAREA",1.897581156,-78.3811163
2007-01-28,"NARIÑO","BARBACOAS","COCA",2.03,"HECTAREA",1.44563774,-78.15621072
2007-01-29,"NARIÑO","EL ROSARIO","COCA",2,"HECTAREA",1.887689437,-77.48319589
2007-01-29,"NARIÑO","EL PEÑOL","COCA",1,"HECTAREA",1.512283967,-77.43050934
2007-01-29,"CESAR","AGUSTIN CODAZZI","COCA",10,"HECTAREA",9.949215908,-73.22358244
2007-01-29,"BOYACÁ","PAUNA","COCA",0.68,"HECTAREA",5.688801559,-74.00504122
2007-01-30,"NARIÑO","POLICARPA","COCA",1,"HECTAREA",1.735354202,-77.48134359
2007-01-30,"NARIÑO","OSPINA","COCA",1,"HECTAREA",1.029815854,-77.55234944
2007-01-30,"BOYACÁ","PAUNA","COCA",0.81,"HECTAREA",5.688801559,-74.00504122
2007-01-31,"ARAUCA","PUERTO RONDON","COCA",3,"HECTAREA",6.411761829,-70.96678964
2007-01-31,"CESAR","AGUSTIN CODAZZI","COCA",8,"HECTAREA",9.949215908,-73.22358244
2007-01-31,"BOYACÁ","PAUNA","COCA",1.26,"HECTAREA",5.688801559,-74.00504122
2007-01-31,"BOYACÁ","SAN PABLO DE BORBUR","COCA",1,"HECTAREA",5.677345066,-74.11403749
2007-01-31,"NARIÑO","RICAURTE","COCA",1,"HECTAREA",1.147671848,-78.05811118
2007-01-31,"CESAR","SAN ALBERTO","COCA",3,"HECTAREA",7.769815987,-73.47218888
2007-01-31,"CESAR","PAILITAS","COCA",5,"HECTAREA",8.938916143,-73.57247213
2007-01-31,"NARIÑO","TAMINANGO","COCA",0.16,"HECTAREA",1.591661392,-77.32525316
2007-01-31,"PUTUMAYO","ORITO","COCA",2,"HECTAREA",0.673756323,-76.94313923
2007-01-31,"CAQUETÁ","PUERTO RICO","COCA",3,"HECTAREA",2.018940891,-75.07308627
2007-02-01,"NORTE DE SANTANDER","LA ESPERANZA","COCA",10,"HECTAREA",7.695233593,-73.36139672
