"FECHA HECHO","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","CANTIDAD","UNIDADES DE MEDIDA"
2010-01-01,"05","ANTIOQUIA","05790","TARAZA",1.85,"KILOGRAMO"
2010-01-01,"94","GUAINIA","94883","SAN FELIPE",15,"KILOGRAMO"
2010-01-01,"18","CAQUETA","18410","LA MONTAÑITA",45,"KILOGRAMO"
2010-01-01,"18","CAQUETA","18410","LA MONTAÑITA",2,"KILOGRAMO"
2010-01-01,"66","RISARALDA","66001","PEREIRA",0.001,"KILOGRAMO"
2010-01-01,"08","ATLANTICO","08001","BARRANQUILLA",0.0325,"KILOGRAMO"
2010-01-01,"13","BOLIVAR","13001","CARTAGENA",0.035,"KILOGRAMO"
2010-01-01,"76","VALLE DEL CAUCA","76892","YUMBO",0.002,"KILOGRAMO"
2010-01-01,"11","BOGOTA D.C.","11001","BOGOTA D.C.",0.005,"KILOGRAMO"
2010-01-01,"94","GUAINIA","94001","INIRIDA",8.0515,"KILOGRAMO"
2010-01-01,"52","NARIÑO","52254","EL PEÑOL",0.01,"KILOGRAMO"
2010-01-02,"95","GUAVIARE","95001","SAN JOSE DEL GUAVIARE",517,"KILOGRAMO"
2010-01-02,"05","ANTIOQUIA","05001","MEDELLIN",0.175,"KILOGRAMO"
2010-01-02,"52","NARIÑO","52001","PASTO",0.01,"KILOGRAMO"
2010-01-02,"23","CORDOBA","23001","MONTERIA",0.005,"KILOGRAMO"
2010-01-02,"23","CORDOBA","23001","MONTERIA",0.01,"KILOGRAMO"
2010-01-02,"05","ANTIOQUIA","05001","MEDELLIN",0.02,"KILOGRAMO"
2010-01-02,"05","ANTIOQUIA","05001","MEDELLIN",0.025,"KILOGRAMO"
2010-01-02,"05","ANTIOQUIA","05001","MEDELLIN",0.01,"KILOGRAMO"
2010-01-02,"05","ANTIOQUIA","05001","MEDELLIN",0.045,"KILOGRAMO"
2010-01-02,"05","ANTIOQUIA","05001","MEDELLIN",0.012,"KILOGRAMO"
2010-01-02,"05","ANTIOQUIA","05001","MEDELLIN",0.02,"KILOGRAMO"
2010-01-02,"05","ANTIOQUIA","05001","MEDELLIN",0.015,"KILOGRAMO"
2010-01-02,"76","VALLE DEL CAUCA","76364","JAMUNDI",0.01,"KILOGRAMO"
2010-01-02,"76","VALLE DEL CAUCA","76892","YUMBO",0.002,"KILOGRAMO"
2010-01-02,"08","ATLANTICO","08573","PUERTO COLOMBIA",0.032,"KILOGRAMO"
2010-01-02,"08","ATLANTICO","08758","SOLEDAD",0.04,"KILOGRAMO"
2010-01-02,"66","RISARALDA","66400","LA VIRGINIA",0.002,"KILOGRAMO"
2010-01-02,"66","RISARALDA","66682","SANTA ROSA DE CABAL",0.001,"KILOGRAMO"
2010-01-02,"66","RISARALDA","66682","SANTA ROSA DE CABAL",0.001,"KILOGRAMO"
