"fecha_hecho","departamento","municipio","cantidad","unidad","LATITUD","LONGITUD"
2010-01-01,"RISARALDA","DOSQUEBRADAS",0.002,"KILOGRAMO",4.842021144,-75.66993655
2010-01-01,"RISARALDA","DOSQUEBRADAS",0.002,"KILOGRAMO",4.842021144,-75.66993655
2010-01-01,"BOGOTA D.C.","BOGOTA D.C.",0.6132,"KILOGRAMO",4.316107698,-74.1810727
2010-01-01,"QUINDIO","ARMENIA",0.002,"KILOGRAMO",4.499501128,-75.72489985
2010-01-01,"QUINDIO","ARMENIA",0.004,"KILOGRAMO",4.499501128,-75.72489985
2010-01-01,"CAUCA","POPAYAN",0.0388,"KILOGRAMO",2.471704362,-76.59194419
2010-01-01,"ATLANTICO","BARRANQUILLA",0.013,"KILOGRAMO",10.98152051,-74.82771544
2010-01-01,"NORTE DE SANTANDER","CUCUTA",0.002,"KILOGRAMO",8.112041811,-72.48862641
2010-01-01,"ANTIOQUIA","SAN ROQUE",0.025,"KILOGRAMO",6.466165211,-74.9450732
2010-01-01,"META","VILLAVICENCIO",300,"KILOGRAMO",4.09166877,-73.49291595
2010-01-01,"SANTANDER","GIRON",0.009,"KILOGRAMO",6.976734127,-73.205267
2010-01-01,"AMAZONAS","LETICIA",8.825,"KILOGRAMO",-3.530058784,-70.04513691
2010-01-01,"ANTIOQUIA","BETANIA",0.004,"KILOGRAMO",5.727081285,-75.98689107
2010-01-01,"ANTIOQUIA","CACERES",0.002,"KILOGRAMO",7.665155105,-75.22369744
2010-01-01,"ANTIOQUIA","TARAZA",0.042,"KILOGRAMO",7.488875998,-75.40189438
2010-01-02,"RISARALDA","PEREIRA",0.043,"KILOGRAMO",4.803662773,-75.79579093
2010-01-02,"BOGOTA D.C.","BOGOTA D.C.",0.0673,"KILOGRAMO",4.316107698,-74.1810727
2010-01-02,"QUINDIO","ARMENIA",0.014,"KILOGRAMO",4.499501128,-75.72489985
2010-01-02,"NORTE DE SANTANDER","CUCUTA",0.003,"KILOGRAMO",8.112041811,-72.48862641
2010-01-02,"ANTIOQUIA","MEDELLIN",0.042,"KILOGRAMO",6.257590259,-75.61103107
2010-01-02,"ANTIOQUIA","MEDELLIN",0.008,"KILOGRAMO",6.257590259,-75.61103107
2010-01-02,"NORTE DE SANTANDER","EL ZULIA",4.19,"KILOGRAMO",8.081200092,-72.63152118
2010-01-02,"AMAZONAS","LETICIA",0.0055,"KILOGRAMO",-3.530058784,-70.04513691
2010-01-02,"ANTIOQUIA","TAMESIS",0.008,"KILOGRAMO",5.673758571,-75.70979974
