"fecha_hecho","departamento","municipio","cantidad","unidad","LATITUD","LONGITUD"
2010-01-01,"QUINDIO","ARMENIA",0.001,"KILOGRAMO",4.499501128,-75.72489985
2010-01-03,"RISARALDA","PEREIRA",0.001,"KILOGRAMO",4.803662773,-75.79579093
2010-01-03,"RISARALDA","DOSQUEBRADAS",0.001,"KILOGRAMO",4.842021144,-75.66993655
2010-01-03,"NORTE DE SANTANDER","CUCUTA",0.0024,"KILOGRAMO",8.112041811,-72.48862641
2010-01-03,"CAUCA","PIENDAMO",2,"KILOGRAMO",2.702420026,-76.53770455
2010-01-04,"RISARALDA","DOSQUEBRADAS",0.004,"KILOGRAMO",4.842021144,-75.66993655
2010-01-04,"RISARALDA","DOSQUEBRADAS",0.001,"KILOGRAMO",4.842021144,-75.66993655
2010-01-05,"CAUCA","SANTANDER DE QUILICHAO",0.005,"KILOGRAMO",2.984467338,-76.49873145
2010-01-05,"ANTIOQUIA","RIONEGRO",2,"KILOGRAMO",6.150785807,-75.41076052
2010-01-06,"QUINDIO","ARMENIA",0.002,"KILOGRAMO",4.499501128,-75.72489985
2010-01-07,"QUINDIO","ARMENIA",0.002,"KILOGRAMO",4.499501128,-75.72489985
2010-01-07,"QUINDIO","ARMENIA",0.001,"KILOGRAMO",4.499501128,-75.72489985
2010-01-07,"CUNDINAMARCA","SOACHA",1.904,"KILOGRAMO",4.581866267,-74.24029696
2010-01-08,"QUINDIO","ARMENIA",0.006,"KILOGRAMO",4.499501128,-75.72489985
2010-01-09,"RISARALDA","DOSQUEBRADAS",0.002,"KILOGRAMO",4.842021144,-75.66993655
2010-01-09,"QUINDIO","ARMENIA",0.001,"KILOGRAMO",4.499501128,-75.72489985
2010-01-10,"RISARALDA","DOSQUEBRADAS",0.001,"KILOGRAMO",4.842021144,-75.66993655
2010-01-10,"QUINDIO","ARMENIA",0.002,"KILOGRAMO",4.499501128,-75.72489985
2010-01-12,"RISARALDA","DOSQUEBRADAS",0.001,"KILOGRAMO",4.842021144,-75.66993655
2010-01-12,"RISARALDA","DOSQUEBRADAS",0.001,"KILOGRAMO",4.842021144,-75.66993655
2010-01-12,"RISARALDA","DOSQUEBRADAS",0.002,"KILOGRAMO",4.842021144,-75.66993655
2010-01-13,"RISARALDA","DOSQUEBRADAS",0.001,"KILOGRAMO",4.842021144,-75.66993655
2010-01-13,"RISARALDA","PEREIRA",0.001,"KILOGRAMO",4.803662773,-75.79579093
